"Ár";"Fyrstu kaupendur";"Allir kaupendur"
"2007";29,5;39,2
"2008";30,1;39,6
"2009";32,5;43,7
"2010";31,3;41,9
"2011";30,3;42
"2012";31;42,5
"2013";31,2;42,6
"2014";30,8;42,9
"2015";31;42,8
"2016";30,2;41,7
"2017";30,3;41,5
"2018";30,8;41,9
"2019";30,2;42,1
"2020";29,8;41,2
"2021";29,8;41,1
"2022";29,6;39,9
