"Ár";"Fyrstu kaupendur";"Allir kaupendur"
"2007";29,5;39,2
"2008";29,9;40,5
"2009";29,5;40
"2010";30;41
"2011";30,6;41,2
"2012";31,2;42,6
"2013";30,8;42,8
"2014";29,9;42,2
"2015";29,8;42,2
"2016";29,7;41,9
"2017";29,1;40,1
"2018";29,9;41,8
"2019";29,7;40,5
"2020";29;39,8
"2021";30;40,2
"2022";29,9;42,3
