"Ár";"Fyrstu kaupendur";"Allir kaupendur"
"2007";29,9;39,8
"2008";32,1;42
"2009";31,4;42,5
"2010";30,7;41,6
"2011";30,9;42,7
"2012";31,3;43,4
"2013";32,7;45,1
"2014";31,8;44,8
"2015";31;44,8
"2016";30,8;43,4
"2017";31,2;43,8
"2018";30,4;43,6
"2019";30;43,6
"2020";29,6;43,4
"2021";28,9;41,6
"2022";29;43,5
