"Ár";"Hlutfall fyrstu kaupenda"
"2007";23,9
"2008";25,8
"2009";20
"2010";28,6
"2011";28
"2012";28,9
"2013";26,3
"2014";27,2
"2015";28,6
"2016";27,2
"2017";29,4
"2018";28,9
"2019";31
"2020";35,7
"2021";34
"2022";25,7
