"Ár";"Fyrstu kaupendur";"Allir kaupendur"
"2007";33,6;45,2
"2008";36,1;43,9
"2009";32,8;45,1
"2010";31,4;43,5
"2011";32,4;44,8
"2012";33,8;44,3
"2013";32,5;46,3
"2014";33,1;46,4
"2015";33,1;46,1
"2016";32,7;46,3
"2017";30,7;44,3
"2018";29,6;42,9
"2019";30,5;43,9
"2020";30,1;43,5
"2021";29,5;41,8
"2022";28;42,3
