"Ár";"Hlutfall fyrstu kaupenda"
"2007";17,2
"2008";16,7
"2009";11,8
"2010";21,2
"2011";22,1
"2012";18,2
"2013";23,4
"2014";16,1
"2015";20,4
"2016";18,4
"2017";24,5
"2018";23,2
"2019";21,1
"2020";25,2
"2021";24,4
"2022";20,9
