"Ár";"Hlutfall fyrstu kaupenda"
"2007";23,5
"2008";21,9
"2009";19,6
"2010";25,8
"2011";22,1
"2012";25,8
"2013";21,4
"2014";22,5
"2015";21,5
"2016";24,1
"2017";22,8
"2018";26,3
"2019";26,5
"2020";27,9
"2021";31,4
"2022";20,8
