"Ár";"Hlutfall fyrstu kaupenda"
"2007";14,2
"2008";13,2
"2009";12,3
"2010";19,8
"2011";17,3
"2012";17,7
"2013";14,3
"2014";14,1
"2015";15,6
"2016";14,6
"2017";17,4
"2018";20,1
"2019";20,6
"2020";19,9
"2021";22,1
"2022";18,9
