"Ár";"Fyrstu kaupendur";"Allir kaupendur"
"2007";30,9;39,6
"2008";29,5;42
"2009";28,5;39,5
"2010";31,2;40,2
"2011";30,4;41,3
"2012";29,2;42,6
"2013";31,2;42,1
"2014";30,1;43,1
"2015";30,6;40,7
"2016";32,6;42,2
"2017";29,2;40,6
"2018";30,6;41,5
"2019";32;44,6
"2020";28,6;41,8
"2021";28,9;42,4
"2022";29;39,7
