"Ár";"Hlutfall fyrstu kaupenda"
"2007";28,1
"2008";31,2
"2009";23,6
"2010";29,4
"2011";30,8
"2012";30,4
"2013";29,4
"2014";28,4
"2015";27,9
"2016";29,5
"2017";31,3
"2018";32
"2019";32,7
"2020";34,8
"2021";35,2
"2022";37,7
